عععname,image
اقلاص النخلة ع 240,01.jpg
بالدي 11 لتر,02.jpg
بالدي شفاف عشرة لتر,03
بالدي عشرة لتر ملون,04
بالدي قمامة مروحة ستة لتر /ع 12,05
بالدي قمامة مروحة عشرة لتر,06
بالدي مصب,07
بانيو أطفال,08
براميل 30 لتر,09
براميل 50 لتر,10
براميل 70 لتر,11
براميل 90 لتر,12
برميل 120 لتر,13
برميل 30 شفاف,14
برميل 40 لتر,15
برميل 60 لتر,16
برميل 80 لتر,17
بوالد 13 لتر,18
بوالد 18 شفاف,19
بوالد 18 لتر,20
بوالد 2,21
بوالد 22 لتر,22
بوالد 2شفاف,23
بوالد 3  شفاف ع 54,24
بوالد 3,25
بوالد 5  شفاف,26
بوالد 5  ,27
بوالد 7 ,28
بوالد 7 شفاف,29
بوالد 9 ,30
بوالد 9 شفاف,31
بوالد خلطة,32
بيلم فرادة عجين,33
برش حمام كروي,34
برش حمام مقوس ,35
برش كاوية,36
جاك البركة,37
جاك الفا,38
جاك الوطنية قصير 1.5 لتر,39
جاك الوطنية قصير 1.5 لتر,40
جاك الوطنيه 2500 ملي ,41
جاك الوطنيه 4  لتر,42
جاك جامبو,43
جفنة,44
رف خضار,45
رف خضار رباعي,46
رف خضار نجوم,47
رف صابون بودرة ,48
رف صابون مزدوج ,49
رف صحون افقي 1,50
رف صحون افقي 2,51
رف صحون افقي 3,52
رف صحون عمودي1,53
رف صحون عمودي2,54
زاوية حمام / ع 10,55
سحاب بلاط الوطنية,56
سعافة سقف / ع 24,57
سلة التاج ع 12,58
سلة الزهرة ع 36,59
سلة الغسيل,60
سلة الواحة / ع 84,61
سلة تسوق الوطنية,62
سلة رغيف /عبوة 72,63
سلة رغيف رقم 1 / ع 72,64
سلة رغيف رقم 2 / ع 120,65
سلة سمك ديلوكس مكينة 10,66
سلة سندوتش,67
سلة شبك مستطيل / ع 36,68
سلة غسيل نجوم 2001,69
سلة فواكه / شبك / ع120,70
سلة قمامة / عشرة لتر/ ع36,71
سلة قمامة عشرة لتر فضي ع 36,72
سلة قمامة مع الطوق ع 36,73
سلة ملاعق الوطنية ع 90,74
سلة مهملات ستة لتر / ع 36,75
صحف 60,76
صحف 90,77
صحن الوطنية 2888,78
صحن الوطنية 3788,79
صحن تقديم مدور مع المقبض ع 36,80
صحن قطر 20سم ع 144,81
صحن مدور كبير ع 96,82
صحن مدور وسط,83
صحون تقديم ع 36,84
صندوق مكياج بلاستيك ع 24,85
طاولة مجالس الوطنية ع 10,86
طشت 100,87
طشت 401,88
طشت 402,89
طشت 403,90
طشت 404,91
طشت 405,92
طقم مكنس مع الملف / ع 30,93
طوق سلة قمامة,94
علب 180 ملي ع 108,95
علب 350 ملي,96
علب 350 ملي,97
علب اسطواني 215 ملي,98
علب بخور المهل /فضي/ البيضاء  / ع 120,99
علب بخور ثماني / فضي ع 300,100
علب بخور ثماني شفاف ع 300,101
علب بخور ثماني ع 300,102
علب بخور سداسي فضي ع 300,103
علب بخور سعودي / فضي ع 270,104
علب بخور سعودي بني ع 270,105
علب بخور سعودي ع 270,106
علب حافظ  1005,107
علب حافظ  رقم 1001,108
علب حافظ  رقم 1002,109
علب حافظ  رقم 1003,110
علب حافظ  رقم 1004,111
علب حافظ  رقم 1008,112
علب حافظ رقم 1006,113
علب شفاف 1000 ملي دائري ع/96,114
علب شفاف 1007,115
علب شفاف 1009,116
علب شفاف 500 ملي ع 147ح,117
علبة شفاف 3 لتر / ع 36,118
علبة شفاف4 لتر ع 24,119
علبة صابون / ع 72,120
علبة مكسرات  ,121
عياشات 13 ع 24,122
عياشات 18 ع 18,123
عياشات 22 شفاف,124
عياشات 30 ع 18,125
عياشات 50,126
عياشات 9 ع 36,127
عياشة 203 شفاف ع 18,128
عياشة 203 ملون ع 18,129
عياشة 204  شفاف ع 12,130
عياشة 204 ملون ع 12,131
عياشة 22 ملون /ع 12,132
فرادة عجين صغير / ع 10,133
فرادة عجين صغير / فضي ع 10,134
فرادة عجين كبير ع 8,135
فرادة عجين كبير فضي / ع 8,136
قصريات اطفال / ع 36,137
قضيب سحاب بلاط,138
قلص قهوة / ع 360,139
قلص مع اليد,140
قنينة 50 ملي ع 240,141
كراسي ترامس صيني ع 24,142
كرسي البرنس / ابيض / بيج,143
كرسي البرنس / ملون,144
كرسي النخلة / ملون,145
كرسي النخلة ابيض / بيج,146
كرسي ترامس / القدس ع 12,147
كرسي ترمس بيضاوي ع 12,148
كرسي ترمس خيزران ع 24,149
كرسي ترمس مربع رقم 1 / ع 24,150
كرسي ترمس مربع رقم 2 / ع24,151
كرسي تسريحة,152
كرسي مع اليد / ملون,153
كرسي مع اليد ابيض,154
كرسي مع اليد بيج,155
مخابط ذباب,156
مدق هون ع 24,157
مرايا قلب  22*24.5 / ع18,158
مرايا مربع 26.5*33 / ع12,159
مرايا مربع مقاس 27*26 سم ع 12,160
مشن ارز / ع 36,161
مشن حوض مطبخ الوطنية  / ع24ح,162
مصب زيت مودل 105,163
مصب قطر 15 سم عبوة 288 ح,164
مصب قطر 20 سم,165
مطايب 5,166
مطايب 7,167
مطايب البركة,168
مطايب عدن ع 144,169
مطايب نورة ع 360,170
معاجن القدس,171
معاجن المدينة -3 / ع 36,172
معاجن مكة 1 / ع 36,173
معاجن مكة 2 / ع 36,174
معاجن مكة 3 / ع 18,175
معاجن مكة 4 / ع 18,176
معاجن مودل 101 / ع36,177
معاجن مودل 102 / ع36,178
معاجن مودل 103 / ع48,179
معاجن مودل 104 / ع48,180
معاجن مودل 105 / ع 36,181
معالق ثياب  خماسي ملون / ع 84,182
معالق ثياب اطفال,183
معالق فساتين ع 300,184
مغارف البرنس ع 120,185
مغارف ثماني,186
مغارف صغير عادي ع 120,187
مغارف قلب ع 120,188
مكنس سوري (عدن),189
مكنسة البرنس / ع 24,190
مكنسة التاج  / ع 24,191
مكنسة رقم 3 / ع 24,192
ملاعق بهارات,193
ملف كنس 101 ع 48,194
ملف كنس قلب,195
ملف كنس مع العصا,196
ملف كنس موديل 102 ع 36,197
ملف كنس موديل 102 ع 36,198
موب الوطنية ع 24,199
